'sample interval','RESP'
'0.008 sec','pm'
1571,0.411
1572,0.445
1573,0.482
1574,0.518
1575,0.555
1576,0.589
1577,0.621
1578,0.653
1579,0.677
1580,0.702
1581,0.721
1582,0.738
1583,0.748
1584,0.758
1585,0.763
1586,0.765
1587,0.763
1588,0.758
1589,0.751
1590,0.741
1591,0.724
1592,0.704
1593,0.677
1594,0.650
1595,0.616
1596,0.584
1597,0.545
1598,0.509
1599,0.474
1600,0.440
1601,0.408
1602,0.377
1603,0.345
1604,0.313
1605,0.281
1606,0.249
1607,0.222
1608,0.196
1609,0.171
1610,0.147
1611,0.125
1612,0.103
1613,0.081
1614,0.061
1615,0.042
1616,0.022
1617,0.005
1618,-0.012
1619,-0.027
1620,-0.042
1621,-0.056
1622,-0.068
1623,-0.078
1624,-0.088
1625,-0.098
1626,-0.108
1627,-0.117
1628,-0.125
1629,-0.134
1630,-0.142
1631,-0.149
1632,-0.159
1633,-0.169
1634,-0.176
1635,-0.186
1636,-0.196
1637,-0.208
1638,-0.218
1639,-0.225
1640,-0.232
1641,-0.240
1642,-0.244
1643,-0.249
1644,-0.254
1645,-0.259
1646,-0.264
1647,-0.267
1648,-0.269
1649,-0.269
1650,-0.269
1651,-0.269
1652,-0.269
1653,-0.267
1654,-0.264
1655,-0.257
1656,-0.252
1657,-0.244
1658,-0.237
1659,-0.230
1660,-0.222
1661,-0.213
1662,-0.203
1663,-0.191
1664,-0.176
1665,-0.161
1666,-0.144
1667,-0.127
1668,-0.110
1669,-0.090
1670,-0.071
1671,-0.046
1672,-0.020
1673,0.012
1674,0.044
1675,0.081
1676,0.117
1677,0.159
1678,0.198
1679,0.235
1680,0.274
1681,0.308
1682,0.342
1683,0.377
1684,0.413
1685,0.447
1686,0.482
1687,0.511
1688,0.540
1689,0.565
1690,0.589
1691,0.606
1692,0.623
1693,0.636
1694,0.645
1695,0.645
1696,0.645
1697,0.636
1698,0.628
1699,0.614
1700,0.601
1701,0.584
1702,0.567
1703,0.543
1704,0.521
1705,0.491
1706,0.462
1707,0.435
1708,0.408
1709,0.379
1710,0.352
1711,0.323
1712,0.293
1713,0.262
1714,0.232
1715,0.200
1716,0.171
1717,0.142
1718,0.115
1719,0.090
1720,0.066
1721,0.046
1722,0.027
1723,0.007
1724,-0.010
1725,-0.027
1726,-0.042
1727,-0.056
1728,-0.071
1729,-0.081
1730,-0.093
1731,-0.103
1732,-0.112
1733,-0.122
1734,-0.132
1735,-0.139
1736,-0.149
1737,-0.156
1738,-0.166
1739,-0.174
1740,-0.181
1741,-0.186
1742,-0.191
1743,-0.198
1744,-0.203
1745,-0.208
1746,-0.210
1747,-0.215
1748,-0.218
1749,-0.218
1750,-0.220
1751,-0.218
1752,-0.215
1753,-0.210
1754,-0.205
1755,-0.198
1756,-0.191
1757,-0.178
1758,-0.169
1759,-0.156
1760,-0.142
1761,-0.127
1762,-0.112
1763,-0.093
1764,-0.071
1765,-0.044
1766,-0.017
1767,0.012
1768,0.039
1769,0.071
1770,0.100
1771,0.139
1772,0.178
1773,0.227
1774,0.274
1775,0.328
1776,0.379
1777,0.435
1778,0.491
1779,0.540
1780,0.589
1781,0.633
1782,0.677
1783,0.716
1784,0.758
1785,0.792
1786,0.826
1787,0.853
1788,0.880
1789,0.900
1790,0.917
1791,0.924
1792,0.932
1793,0.929
1794,0.927
1795,0.912
1796,0.897
1797,0.875
1798,0.853
1799,0.829
1800,0.804
1801,0.778
1802,0.751
1803,0.716
1804,0.685
1805,0.648
1806,0.611
1807,0.575
1808,0.540
1809,0.509
1810,0.474
1811,0.443
1812,0.411
1813,0.381
1814,0.350
1815,0.320
1816,0.293
1817,0.267
1818,0.242
1819,0.220
1820,0.198
1821,0.178
1822,0.161
1823,0.144
1824,0.127
1825,0.110
1826,0.095
1827,0.081
1828,0.066
1829,0.054
1830,0.042
1831,0.029
1832,0.017
1833,0.005
1834,-0.007
1835,-0.017
1836,-0.029
1837,-0.042
1838,-0.054
1839,-0.064
1840,-0.073
1841,-0.083
1842,-0.093
1843,-0.105
1844,-0.115
1845,-0.125
1846,-0.134
1847,-0.144
1848,-0.152
1849,-0.159
1850,-0.166
1851,-0.174
1852,-0.181
1853,-0.188
1854,-0.196
1855,-0.203
1856,-0.210
1857,-0.215
1858,-0.220
1859,-0.225
1860,-0.227
1861,-0.230
1862,-0.232
1863,-0.235
1864,-0.235
1865,-0.235
1866,-0.235
1867,-0.232
1868,-0.230
1869,-0.227
1870,-0.222
1871,-0.218
1872,-0.210
1873,-0.200
1874,-0.191
1875,-0.176
1876,-0.161
1877,-0.142
1878,-0.122
1879,-0.100
1880,-0.078
1881,-0.054
1882,-0.029
1883,0.002
1884,0.037
1885,0.078
1886,0.117
1887,0.159
1888,0.200
1889,0.240
1890,0.281
1891,0.330
1892,0.381
1893,0.438
1894,0.494
1895,0.555
1896,0.616
1897,0.677
1898,0.738
1899,0.790
1900,0.844
1901,0.890
1902,0.936
1903,0.978
1904,1.017
1905,1.054
1906,1.090
1907,1.120
1908,1.147
1909,1.169
1910,1.191
1911,1.203
1912,1.218
1913,1.225
1914,1.232
1915,1.230
1916,1.230
1917,1.225
1918,1.220
1919,1.210
1920,1.200
1921,1.188
1922,1.176
1923,1.156
1924,1.139
1925,1.115
1926,1.090
1927,1.066
1928,1.042
1929,1.017
1930,0.993
1931,0.963
1932,0.934
1933,0.900
1934,0.866
1935,0.831
